"","性別","年齢階層","小学校・中学校","高校・旧中","短大・高専","大学・大学院"
"1","男","15-19",0.271686624,0.728313376,0,0
"2","男","20-24",0.078071807,0.544298617,0.153445965,0.224183611
"3","男","25-29",0.066900392,0.389556547,0.140625016,0.402918045
"4","男","30-34",0.063210137,0.411653619,0.147444247,0.377691996
"5","男","35-39",0.068597985,0.440348277,0.147771218,0.34328252
"6","男","40-44",0.070747642,0.459567212,0.118701823,0.350983324
"7","男","45-49",0.063724144,0.470963029,0.0948818,0.370431027
"8","男","50-54",0.083335116,0.461673198,0.073973513,0.381018174
"9","男","55-59",0.152243964,0.489760094,0.054111363,0.303884579
"10","男","60-64",0.212971137,0.497361682,0.040801877,0.248865305
"11","男","65-69",0.308183764,0.467030124,0.027931704,0.196854408
"12","男","70-74",0.365094589,0.444746426,0.024717486,0.165441498
"13","男","75-79",0.423753925,0.399144082,0.024912878,0.152189115
"14","男","80-84",0.447819655,0.382911109,0.057559211,0.111710025
"15","男","85+",0.541328057,0.31161655,0.056414365,0.090641028
"16","女","15-19",0.278792359,0.721207641,0,0
"17","女","20-24",0.065985574,0.439558165,0.299835339,0.194620922
"18","女","25-29",0.047171451,0.340814894,0.299198987,0.312814668
"19","女","30-34",0.038650059,0.356490553,0.352466084,0.252393303
"20","女","35-39",0.042506973,0.413354392,0.359704643,0.184433993
"21","女","40-44",0.043015244,0.479452258,0.326914476,0.150618023
"22","女","45-49",0.039577802,0.515426176,0.306760224,0.138235798
"23","女","50-54",0.059857897,0.526468975,0.275526211,0.138146918
"24","女","55-59",0.135306175,0.58154599,0.187178226,0.09596961
"25","女","60-64",0.21543741,0.589593171,0.131567642,0.063401777
"26","女","65-69",0.339941927,0.538816522,0.078880036,0.042361516
"27","女","70-74",0.428436289,0.485834348,0.057619374,0.028109989
"28","女","75-79",0.473704061,0.463875519,0.041946823,0.020473597
"29","女","80-84",0.503554621,0.440815218,0.041059974,0.014570187
"30","女","85+",0.629438006,0.328139899,0.031044815,0.01137728
