"","性別","年齢階層","有配偶","死別","離別"
"1","男","15-19",0.917667403,0.019598424,0.062734172
"2","男","20-24",0.951549572,0.004036961,0.044413468
"3","男","25-29",0.965194327,0.000950129,0.033855544
"4","男","30-34",0.960418229,0.000911657,0.038670115
"5","男","35-39",0.950200281,0.001584659,0.04821506
"6","男","40-44",0.934388709,0.002901492,0.062709798
"7","男","45-49",0.916882038,0.005322085,0.077795877
"8","男","50-54",0.905363888,0.009420585,0.085215527
"9","男","55-59",0.899958184,0.016430452,0.083611363
"10","男","60-64",0.891743035,0.028965621,0.079291344
"11","男","65-69",0.885337126,0.044546465,0.070116409
"12","男","70-74",0.878776671,0.068317809,0.05290552
"13","男","75-79",0.859351738,0.102976868,0.037671394
"14","男","80-84",0.814792451,0.161695074,0.023512475
"15","男","85-89",0.722263522,0.263673502,0.014062976
"16","男","90-94",0.576297837,0.413602372,0.010099791
"17","男","95-99",0.412442548,0.578873933,0.008683519
"18","男","100+",0.25128785,0.737781128,0.010931021
"19","女","15-19",0.91204272,0.015160815,0.072796465
"20","女","20-24",0.921612183,0.004204049,0.074183769
"21","女","25-29",0.939283931,0.001413057,0.059303012
"22","女","30-34",0.933011637,0.001982732,0.065005631
"23","女","35-39",0.916422132,0.003746552,0.079831315
"24","女","40-44",0.889149124,0.007491464,0.103359413
"25","女","45-49",0.866416319,0.015011037,0.118572644
"26","女","50-54",0.85322937,0.028483756,0.118286874
"27","女","55-59",0.843455951,0.050989435,0.105554614
"28","女","60-64",0.815568855,0.088520146,0.095910999
"29","女","65-69",0.766055312,0.146039214,0.087905474
"30","女","70-74",0.682324529,0.24940346,0.068272011
"31","女","75-79",0.552074866,0.397439163,0.05048597
"32","女","80-84",0.379023011,0.583266776,0.037710213
"33","女","85-89",0.205919534,0.762103244,0.031977222
"34","女","90-94",0.079225881,0.89354386,0.027230259
"35","女","95-99",0.029581877,0.949846984,0.020571139
"36","女","100+",0.018590959,0.965318385,0.016090656
