"","îNóÓäKëw","ñàì˙","èTÇT-ÇUì˙","èTÇR-ÇSì˙","èTÇP-ÇQì˙","åéÇ…ÇP-ÇRì˙","ÇŸÇ∆ÇÒÇ«à˘Ç‹Ç»Ç¢","Ç‚ÇﬂÇΩ","à˘Ç‹Ç»Ç¢ (à˘ÇﬂÇ»Ç¢)","ê´ï "
"1","15-19","0","0","0","0","0","0","0","1","íj"
"2","20-29","0.063636364","0.031818182","0.045454545","0.186363636","0.177272727","0.268181818","0","0.227272727","íj"
"3","30-39","0.145669291","0.059055118","0.094488189","0.141732283","0.125984252","0.173228346","0","0.25984252","íj"
"4","40-49","0.280373832","0.095794393","0.063084112","0.130841121","0.077102804","0.140186916","0.018691589","0.193925234","íj"
"5","50-59","0.297820823","0.10653753","0.0968523","0.084745763","0.06779661","0.12590799","0.012106538","0.208232446","íj"
"6","60-69","0.414893617","0.09929078","0.069148936","0.058510638","0.044326241","0.093971631","0.028368794","0.191489362","íj"
"7","70+","0.351969504","0.06480305","0.067344346","0.050825921","0.054637865","0.105463787","0.057179161","0.247776366","íj"
"8","15-19","0","0","0","0","0","0","0","1","èó"
"9","20-29","0.03539823","0.004424779","0.013274336","0.159292035","0.159292035","0.261061947","0.008849558","0.35840708","èó"
"10","30-39","0.060402685","0.043624161","0.053691275","0.077181208","0.100671141","0.228187919","0.033557047","0.402684564","èó"
"11","40-49","0.10042735","0.044871795","0.05982906","0.094017094","0.106837607","0.200854701","0.014957265","0.378205128","èó"
"12","50-59","0.135135135","0.062370062","0.056133056","0.079002079","0.079002079","0.216216216","0.008316008","0.363825364","èó"
"13","60-69","0.079207921","0.034653465","0.054455446","0.047854785","0.072607261","0.181518152","0.01320132","0.51650165","èó"
"14","70+","0.040794979","0.013598326","0.036610879","0.040794979","0.033472803","0.127615063","0.010460251","0.69665272","èó"
