"","Age","Total.both.sexes","ç\ê¨î‰"
"1","ëçêî",110954000,0
"2","15",1106000,0.00996809488616904
"3","16",1125000,0.0101393370225499
"4","17",1159000,0.0104457703192314
"5","18",1188000,0.0107071398958127
"6","19",1242000,0.0111938280728951
"7","20",1255000,0.0113109937451557
"8","21",1284000,0.0115723633217369
"9","22",1283000,0.0115633505777169
"10","23",1275000,0.0114912486255565
"11","24",1290000,0.0116264397858572
"12","25",1273000,0.0114732231375164
"13","26",1240000,0.011175802584855
"14","27",1243000,0.0112028408169151
"15","28",1232000,0.0111037006326946
"16","29",1252000,0.0112839555130955
"17","30",1278000,0.0115182868576167
"18","31",1318000,0.0118787966184184
"19","32",1353000,0.01219424265912
"20","33",1375000,0.012392523027561
"21","34",1428000,0.0128701984606233
"22","35",1473000,0.0132757719415253
"23","36",1494000,0.0134650395659462
"24","37",1496000,0.0134830650539863
"25","38",1511000,0.013618256214287
"26","39",1576000,0.0142040845755899
"27","40",1618000,0.0145826198244317
"28","41",1680000,0.0151414099536745
"29","42",1725000,0.0155469834345765
"30","43",1807000,0.0162860284442201
"31","44",1887000,0.0170070479658237
"32","45",1990000,0.0179353605998882
"33","46",2024000,0.0182417938965697
"34","47",1985000,0.017890296879788
"35","48",1931000,0.0174036087027056
"36","49",1872000,0.016871856805523
"37","50 çŒ",1842000,0.0166014744849217
"38","51",1800000,0.0162229392360798
"39","52",1794000,0.0161688627719596
"40","53",1403000,0.0126448798601222
"41","54",1728000,0.0155740216666366
"42","55",1617000,0.0145736070804117
"43","56",1575000,0.0141950718315698
"44","57",1521000,0.0137083836544874
"45","58",1495000,0.0134740523099663
"46","59",1503000,0.0135461542621266
"47","60",1529000,0.0137804856066478
"48","61",1485000,0.0133839248697658
"49","62",1441000,0.0129873641328839
"50","63",1511000,0.013618256214287
"51","64",1558000,0.0140418551832291
"52","65",1553000,0.0139967914631289
"53","66",1645000,0.0148259639129729
"54","67",1734000,0.0156280981307569
"55","68",1826000,0.016457270580601
"56","69",1950000,0.0175748508390865
"57","70",2124000,0.0191430682985742
"58","71",2089000,0.0188276222578726
"59","72",1966000,0.0177190547434072
"60","73",1216000,0.0109594967283739
"61","74",1291000,0.0116354525298772
"62","75",1553000,0.0139967914631289
"63","76",1484000,0.0133749121257458
"64","77",1501000,0.0135281287740866
"65","78",1432000,0.0129062494367035
"66","79",1272000,0.0114642103934964
"67","80",1078000,0.0097157380536078
"68","81",1115000,0.0100492095823494
"69","82",1106000,0.00996809488616904
"70","83",1062000,0.00957153414928709
"71","84",967000,0.00871532346738288
"72","85",865000,0.00779602357733836
"73","86",811000,0.00730933540025596
"74","87",733000,0.0066063413666925
"75","88",648000,0.00584025812498873
"76","89",554000,0.00499306018710457
"77","90",485000,0.00437118084972151
"78","91",416000,0.00374930151233845
"79","92",349000,0.00314544766299548
"80","93",289000,0.00260468302179281
"81","94",222000,0.00200082917244984
"82","95",166000,0.00149611550732736
"83","96",126000,0.00113560574652559
"84","97",84000,0.000757070497683725
"85","98",59000,0.000531751897182616
"86","99",44000,0.000396560736881951
"87","100 çŒà»è„",69000,0.00062187933738306
